Time[min],Mass[mg],Temperature[degreeC],RH_target[%],RH_measured[%]
24.24,6.8849,100.3,0,0.54
24.27,6.8849,100.2,0,0.54
24.3,6.8848,100.2,0,0.54
24.34,6.8848,100.3,0,0.54
24.37,6.8849,100.3,0,0.54
24.4,6.885,100.3,0,0.54
24.44,6.885,100.3,0,0.54
24.47,6.8849,100.3,0,0.54
24.51,6.8847,100.3,0,0.54
24.54,6.8844,100.4,0,0.54
24.57,6.8842,100.4,0,0.54
24.61,6.8838,100.3,0,0.54
24.64,6.8834,100.3,0,0.54
24.68,6.8831,100.2,0,0.54
24.71,6.8827,100.2,0,0.54
24.74,6.8824,100.2,0,0.54
24.78,6.8821,100.2,0,0.54
24.81,6.8818,100.2,0,0.54
24.84,6.8814,100.1,0,0.54
24.88,6.8811,100.1,0,0.54
24.91,6.8808,100.1,0,0.54
24.95,6.8807,100.1,0,0.54
24.98,6.8806,100.1,0,0.54
25.01,6.8805,100.1,0,0.54
25.05,6.8805,100.1,0,0.54
25.08,6.8806,100.1,0,0.54
